title,image_link,platform1,platform2,platform3,platform4,platform5,platform6
Awesomenauts Assemble,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Awesomenauts_cover.jpg/220px-Awesomenauts_cover.jpg,PS4\,XboxOne,na,na,na,na
Axiom Verge,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/Axiom_Verge_Title.png/220px-Axiom_Verge_Title.png,PS4\,Switch\,WiiU\,XboxOne,na,na
Aztez,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Aztez_Header.jpg/220px-Aztez_Header.jpg,PS4\,XboxOne,na,na,na,na
Backgammon Blitz,unreleased,PS4\,PS3,na,na,na,na
Back to Bed,unreleased,PS4\,PS3\,WiiU,na,na,na
Back to the Future: The Game – 30th Anniversary Edition,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Back_to_the_Future_The_Game.PNG/220px-Back_to_the_Future_The_Game.PNG,PS4\,XboxOne,na,na,na,na
Badass Hero,unreleased,PS4\,Switch,na,na,na,na
Badland: Game of the Year Edition,https://upload.wikimedia.org/wikipedia/en/3/3a/Badland_video_game_logo.jpg,PS4\,PS3\,WiiU\,XboxOne,na,na
Bad North,unreleased,PS4\,Switch\,XboxOne,na,na,na
Baja: Edge of Control HD,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Baja_Edge_of_Control.jpg/220px-Baja_Edge_of_Control.jpg,PS4\,XboxOne,na,na,na,na
Baldur's Gate: Enhanced Edition,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Baldurs_Gate_Enhanced_Edition.png/220px-Baldurs_Gate_Enhanced_Edition.png,PS4,na,na,na,na,na
Baldur's Gate II: Enhanced Edition,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/BGIIEE_cover_art.jpg/220px-BGIIEE_cover_art.jpg,PS4,na,na,na,na,na
Baldur's Gate: Siege of Dragonspear,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Baldur%27s_Gate_Siege_of_Dragonspear_logo.png/220px-Baldur%27s_Gate_Siege_of_Dragonspear_logo.png,PS4,na,na,na,na,na
The Banner Saga,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/The_Banner_Saga_logo_transparent.png/220px-The_Banner_Saga_logo_transparent.png,PS4\,Switch\,XboxOne,na,na,na
The Banner Saga 2,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/The_banner_saga_2_art.jpg/220px-The_banner_saga_2_art.jpg,PS4\,Switch\,XboxOne,na,na,na
